region,item,unit,value
ArgentinaReg,BVMEAT,g/kg,180
ArgentinaReg,SGMEAT,g/kg,133
ArgentinaReg,PGMEAT,g/kg,107
ArgentinaReg,PTMEAT,g/kg,117
ArgentinaReg,BVMILK,g/kg,29
ArgentinaReg,PTEGGS,g/kg,99
AustraliaReg,BVMEAT,g/kg,139
AustraliaReg,SGMEAT,g/kg,122
AustraliaReg,PGMEAT,g/kg,89
AustraliaReg,PTMEAT,g/kg,127
AustraliaReg,BVMILK,g/kg,31
AustraliaReg,PTEGGS,g/kg,107
BrazilReg,BVMEAT,g/kg,136
BrazilReg,SGMEAT,g/kg,145
BrazilReg,PGMEAT,g/kg,97
BrazilReg,PTMEAT,g/kg,117
BrazilReg,BVMILK,g/kg,32
BrazilReg,PTEGGS,g/kg,100
CanadaReg,BVMEAT,g/kg,137
CanadaReg,SGMEAT,g/kg,135
CanadaReg,PGMEAT,g/kg,98
CanadaReg,PTMEAT,g/kg,131
CanadaReg,BVMILK,g/kg,26
CanadaReg,PTEGGS,g/kg,107
ChinaReg,BVMEAT,g/kg,136
ChinaReg,SGMEAT,g/kg,138
ChinaReg,PGMEAT,g/kg,111
ChinaReg,PTMEAT,g/kg,118
ChinaReg,BVMILK,g/kg,38
ChinaReg,PTEGGS,g/kg,115
CongoBasin,BVMEAT,g/kg,148
CongoBasin,SGMEAT,g/kg,145
CongoBasin,PGMEAT,g/kg,114
CongoBasin,PTMEAT,g/kg,125
CongoBasin,BVMILK,g/kg,33
CongoBasin,PTEGGS,g/kg,105
EU_Baltic,BVMEAT,g/kg,147
EU_Baltic,SGMEAT,g/kg,135
EU_Baltic,PGMEAT,g/kg,102
EU_Baltic,PTMEAT,g/kg,125
EU_Baltic,BVMILK,g/kg,32
EU_Baltic,PTEGGS,g/kg,107
EU_CentralEast,BVMEAT,g/kg,148
EU_CentralEast,SGMEAT,g/kg,129
EU_CentralEast,PGMEAT,g/kg,106
EU_CentralEast,PTMEAT,g/kg,143
EU_CentralEast,BVMILK,g/kg,32
EU_CentralEast,PTEGGS,g/kg,112
EU_MidWest,BVMEAT,g/kg,139
EU_MidWest,SGMEAT,g/kg,126
EU_MidWest,PGMEAT,g/kg,100
EU_MidWest,PTMEAT,g/kg,145
EU_MidWest,BVMILK,g/kg,32
EU_MidWest,PTEGGS,g/kg,114
EU_North,BVMEAT,g/kg,135
EU_North,SGMEAT,g/kg,123
EU_North,PGMEAT,g/kg,99
EU_North,PTMEAT,g/kg,148
EU_North,BVMILK,g/kg,30
EU_North,PTEGGS,g/kg,114
EU_South,BVMEAT,g/kg,146
EU_South,SGMEAT,g/kg,130
EU_South,PGMEAT,g/kg,96
EU_South,PTMEAT,g/kg,150
EU_South,BVMILK,g/kg,28
EU_South,PTEGGS,g/kg,114
Former_USSR,BVMEAT,g/kg,148
Former_USSR,SGMEAT,g/kg,135
Former_USSR,PGMEAT,g/kg,108
Former_USSR,PTMEAT,g/kg,125
Former_USSR,BVMILK,g/kg,33
Former_USSR,PTEGGS,g/kg,107
IndiaReg,BVMEAT,g/kg,134
IndiaReg,SGMEAT,g/kg,145
IndiaReg,PGMEAT,g/kg,109
IndiaReg,PTMEAT,g/kg,121
IndiaReg,BVMILK,g/kg,36
IndiaReg,PTEGGS,g/kg,107
IndonesiaReg,BVMEAT,g/kg,134
IndonesiaReg,SGMEAT,g/kg,138
IndonesiaReg,PGMEAT,g/kg,111
IndonesiaReg,PTMEAT,g/kg,123
IndonesiaReg,BVMILK,g/kg,35
IndonesiaReg,PTEGGS,g/kg,115
JapanReg,BVMEAT,g/kg,144
JapanReg,SGMEAT,g/kg,122
JapanReg,PGMEAT,g/kg,98
JapanReg,PTMEAT,g/kg,126
JapanReg,BVMILK,g/kg,36
JapanReg,PTEGGS,g/kg,115
MalaysiaReg,BVMEAT,g/kg,147
MalaysiaReg,SGMEAT,g/kg,129
MalaysiaReg,PGMEAT,g/kg,109
MalaysiaReg,PTMEAT,g/kg,120
MalaysiaReg,BVMILK,g/kg,28
MalaysiaReg,PTEGGS,g/kg,115
MexicoReg,BVMEAT,g/kg,148
MexicoReg,SGMEAT,g/kg,151
MexicoReg,PGMEAT,g/kg,108
MexicoReg,PTMEAT,g/kg,105
MexicoReg,BVMILK,g/kg,32
MexicoReg,PTEGGS,g/kg,101
MiddleEast,BVMEAT,g/kg,146
MiddleEast,SGMEAT,g/kg,139
MiddleEast,PGMEAT,g/kg,96
MiddleEast,PTMEAT,g/kg,133
MiddleEast,BVMILK,g/kg,34
MiddleEast,PTEGGS,g/kg,108
NewZealandReg,BVMEAT,g/kg,126
NewZealandReg,SGMEAT,g/kg,122
NewZealandReg,PGMEAT,g/kg,81
NewZealandReg,PTMEAT,g/kg,126
NewZealandReg,BVMILK,g/kg,28
NewZealandReg,PTEGGS,g/kg,107
NorthernAf,BVMEAT,g/kg,140
NorthernAf,SGMEAT,g/kg,136
NorthernAf,PGMEAT,g/kg,89
NorthernAf,PTMEAT,g/kg,124
NorthernAf,BVMILK,g/kg,33
NorthernAf,PTEGGS,g/kg,105
Pacific_Islands,BVMEAT,g/kg,144
Pacific_Islands,SGMEAT,g/kg,127
Pacific_Islands,PGMEAT,g/kg,107
Pacific_Islands,PTMEAT,g/kg,122
Pacific_Islands,BVMILK,g/kg,32
Pacific_Islands,PTEGGS,g/kg,112
RCAM,BVMEAT,g/kg,149
RCAM,SGMEAT,g/kg,157
RCAM,PGMEAT,g/kg,101
RCAM,PTMEAT,g/kg,111
RCAM,BVMILK,g/kg,34
RCAM,PTEGGS,g/kg,99
RCEU,BVMEAT,g/kg,140
RCEU,SGMEAT,g/kg,136
RCEU,PGMEAT,g/kg,100
RCEU,PTMEAT,g/kg,129
RCEU,BVMILK,g/kg,33
RCEU,PTEGGS,g/kg,108
ROWE,BVMEAT,g/kg,128
ROWE,SGMEAT,g/kg,126
ROWE,PGMEAT,g/kg,96
ROWE,PTMEAT,g/kg,148
ROWE,BVMILK,g/kg,30
ROWE,PTEGGS,g/kg,113
RSAM,BVMEAT,g/kg,137
RSAM,SGMEAT,g/kg,140
RSAM,PGMEAT,g/kg,108
RSAM,PTMEAT,g/kg,128
RSAM,BVMILK,g/kg,33
RSAM,PTEGGS,g/kg,99
RSAS,BVMEAT,g/kg,130
RSAS,SGMEAT,g/kg,152
RSAS,PGMEAT,g/kg,111
RSAS,PTMEAT,g/kg,122
RSAS,BVMILK,g/kg,37
RSAS,PTEGGS,g/kg,108
RSEA_OPA,BVMEAT,g/kg,141
RSEA_OPA,SGMEAT,g/kg,155
RSEA_OPA,PGMEAT,g/kg,111
RSEA_OPA,PTMEAT,g/kg,123
RSEA_OPA,BVMILK,g/kg,34
RSEA_OPA,PTEGGS,g/kg,115
RSEA_PAC,BVMEAT,g/kg,133
RSEA_PAC,SGMEAT,g/kg,131
RSEA_PAC,PGMEAT,g/kg,111
RSEA_PAC,PTMEAT,g/kg,115
RSEA_PAC,BVMILK,g/kg,34
RSEA_PAC,PTEGGS,g/kg,114
RussiaReg,BVMEAT,g/kg,147
RussiaReg,SGMEAT,g/kg,136
RussiaReg,PGMEAT,g/kg,115
RussiaReg,PTMEAT,g/kg,126
RussiaReg,BVMILK,g/kg,35
RussiaReg,PTEGGS,g/kg,107
SouthAfrReg,BVMEAT,g/kg,147
SouthAfrReg,SGMEAT,g/kg,132
SouthAfrReg,PGMEAT,g/kg,97
SouthAfrReg,PTMEAT,g/kg,144
SouthAfrReg,BVMILK,g/kg,31
SouthAfrReg,PTEGGS,g/kg,114
SouthKorea,BVMEAT,g/kg,133
SouthKorea,SGMEAT,g/kg,139
SouthKorea,PGMEAT,g/kg,101
SouthKorea,PTMEAT,g/kg,121
SouthKorea,BVMILK,g/kg,34
SouthKorea,PTEGGS,g/kg,115
EasternAf,BVMEAT,g/kg,147
EasternAf,SGMEAT,g/kg,144
EasternAf,PGMEAT,g/kg,105
EasternAf,PTMEAT,g/kg,123
EasternAf,BVMILK,g/kg,32
EasternAf,PTEGGS,g/kg,105
SouthernAf,BVMEAT,g/kg,149
SouthernAf,SGMEAT,g/kg,143
SouthernAf,PGMEAT,g/kg,110
SouthernAf,PTMEAT,g/kg,124
SouthernAf,BVMILK,g/kg,32
SouthernAf,PTEGGS,g/kg,104
WesternAf,BVMEAT,g/kg,149
WesternAf,SGMEAT,g/kg,144
WesternAf,PGMEAT,g/kg,116
WesternAf,PTMEAT,g/kg,121
WesternAf,BVMILK,g/kg,36
WesternAf,PTEGGS,g/kg,104
TurkeyReg,BVMEAT,g/kg,167
TurkeyReg,SGMEAT,g/kg,124
TurkeyReg,PGMEAT,g/kg,98
TurkeyReg,PTMEAT,g/kg,124
TurkeyReg,BVMILK,g/kg,34
TurkeyReg,PTEGGS,g/kg,115
UkraineReg,BVMEAT,g/kg,147
UkraineReg,SGMEAT,g/kg,138
UkraineReg,PGMEAT,g/kg,110
UkraineReg,PTMEAT,g/kg,123
UkraineReg,BVMILK,g/kg,32
UkraineReg,PTEGGS,g/kg,107
USAReg,BVMEAT,g/kg,124
USAReg,SGMEAT,g/kg,134
USAReg,PGMEAT,g/kg,98
USAReg,PTMEAT,g/kg,132
USAReg,BVMILK,g/kg,32
USAReg,PTEGGS,g/kg,107
CentralEastEurope,BVMEAT,g/kg,146
CentralEastEurope,SGMEAT,g/kg,131
CentralEastEurope,PGMEAT,g/kg,105
CentralEastEurope,PTMEAT,g/kg,142
CentralEastEurope,BVMILK,g/kg,32
CentralEastEurope,PTEGGS,g/kg,112
FormerSovietUnion,BVMEAT,g/kg,147
FormerSovietUnion,SGMEAT,g/kg,136
FormerSovietUnion,PGMEAT,g/kg,112
FormerSovietUnion,PTMEAT,g/kg,126
FormerSovietUnion,BVMILK,g/kg,34
FormerSovietUnion,PTEGGS,g/kg,107
LatinAmericaCarib,BVMEAT,g/kg,146
LatinAmericaCarib,SGMEAT,g/kg,144
LatinAmericaCarib,PGMEAT,g/kg,102
LatinAmericaCarib,PTMEAT,g/kg,117
LatinAmericaCarib,BVMILK,g/kg,32
LatinAmericaCarib,PTEGGS,g/kg,100
MidEastNorthAfrica,BVMEAT,g/kg,142
MidEastNorthAfrica,SGMEAT,g/kg,138
MidEastNorthAfrica,PGMEAT,g/kg,95
MidEastNorthAfrica,PTMEAT,g/kg,130
MidEastNorthAfrica,BVMILK,g/kg,33
MidEastNorthAfrica,PTEGGS,g/kg,107
NorthAmerica,BVMEAT,g/kg,125
NorthAmerica,SGMEAT,g/kg,134
NorthAmerica,PGMEAT,g/kg,98
NorthAmerica,PTMEAT,g/kg,132
NorthAmerica,BVMILK,g/kg,31
NorthAmerica,PTEGGS,g/kg,107
OtherPacificAsia,BVMEAT,g/kg,138
OtherPacificAsia,SGMEAT,g/kg,141
OtherPacificAsia,PGMEAT,g/kg,108
OtherPacificAsia,PTMEAT,g/kg,122
OtherPacificAsia,BVMILK,g/kg,33
OtherPacificAsia,PTEGGS,g/kg,115
PacificOECD,BVMEAT,g/kg,141
PacificOECD,SGMEAT,g/kg,122
PacificOECD,PGMEAT,g/kg,96
PacificOECD,PTMEAT,g/kg,126
PacificOECD,BVMILK,g/kg,34
PacificOECD,PTEGGS,g/kg,114
PlannedAsiaChina,BVMEAT,g/kg,136
PlannedAsiaChina,SGMEAT,g/kg,138
PlannedAsiaChina,PGMEAT,g/kg,111
PlannedAsiaChina,PTMEAT,g/kg,118
PlannedAsiaChina,BVMILK,g/kg,38
PlannedAsiaChina,PTEGGS,g/kg,115
SouthAsia,BVMEAT,g/kg,133
SouthAsia,SGMEAT,g/kg,148
SouthAsia,PGMEAT,g/kg,109
SouthAsia,PTMEAT,g/kg,121
SouthAsia,BVMILK,g/kg,36
SouthAsia,PTEGGS,g/kg,107
SubSaharanAfrica,BVMEAT,g/kg,148
SubSaharanAfrica,SGMEAT,g/kg,142
SubSaharanAfrica,PGMEAT,g/kg,110
SubSaharanAfrica,PTMEAT,g/kg,132
SubSaharanAfrica,BVMILK,g/kg,34
SubSaharanAfrica,PTEGGS,g/kg,107
WesternEurope,BVMEAT,g/kg,141
WesternEurope,SGMEAT,g/kg,126
WesternEurope,PGMEAT,g/kg,98
WesternEurope,PTMEAT,g/kg,146
WesternEurope,BVMILK,g/kg,31
WesternEurope,PTEGGS,g/kg,114
Albania,BVMEAT,g/kg,153
Albania,SGMEAT,g/kg,137
Albania,PGMEAT,g/kg,92
Albania,PTMEAT,g/kg,139
Albania,BVMILK,g/kg,35
Albania,PTEGGS,g/kg,114
Algeria,BVMEAT,g/kg,147
Algeria,SGMEAT,g/kg,134
Algeria,PGMEAT,g/kg,89
Algeria,PTMEAT,g/kg,109
Algeria,BVMILK,g/kg,35
Algeria,PTEGGS,g/kg,104
Angola,BVMEAT,g/kg,156
Angola,SGMEAT,g/kg,152
Angola,PGMEAT,g/kg,103
Angola,PTMEAT,g/kg,123
Angola,BVMILK,g/kg,31
Angola,PTEGGS,g/kg,104
Argentina,BVMEAT,g/kg,180
Argentina,SGMEAT,g/kg,133
Argentina,PGMEAT,g/kg,107
Argentina,PTMEAT,g/kg,117
Argentina,BVMILK,g/kg,29
Argentina,PTEGGS,g/kg,99
Armenia,BVMEAT,g/kg,148
Armenia,SGMEAT,g/kg,135
Armenia,PGMEAT,g/kg,104
Armenia,PTMEAT,g/kg,125
Armenia,BVMILK,g/kg,33
Armenia,PTEGGS,g/kg,107
Australia,BVMEAT,g/kg,139
Australia,SGMEAT,g/kg,122
Australia,PGMEAT,g/kg,89
Australia,PTMEAT,g/kg,127
Australia,BVMILK,g/kg,31
Australia,PTEGGS,g/kg,107
Austria,BVMEAT,g/kg,144
Austria,SGMEAT,g/kg,127
Austria,PGMEAT,g/kg,107
Austria,PTMEAT,g/kg,151
Austria,BVMILK,g/kg,31
Austria,PTEGGS,g/kg,114
Azerbaijan,BVMEAT,g/kg,147
Azerbaijan,SGMEAT,g/kg,135
Azerbaijan,PGMEAT,g/kg,83
Azerbaijan,PTMEAT,g/kg,128
Azerbaijan,BVMILK,g/kg,36
Azerbaijan,PTEGGS,g/kg,107
Bahamas,BVMEAT,g/kg,173
Bahamas,SGMEAT,g/kg,142
Bahamas,PGMEAT,g/kg,102
Bahamas,PTMEAT,g/kg,125
Bahamas,BVMILK,g/kg,35
Bahamas,PTEGGS,g/kg,103
Bahrain,BVMEAT,g/kg,146
Bahrain,SGMEAT,g/kg,139
Bahrain,PGMEAT,g/kg,96
Bahrain,PTMEAT,g/kg,133
Bahrain,BVMILK,g/kg,34
Bahrain,PTEGGS,g/kg,108
Bangladesh,BVMEAT,g/kg,154
Bangladesh,SGMEAT,g/kg,155
Bangladesh,PGMEAT,g/kg,111
Bangladesh,PTMEAT,g/kg,118
Bangladesh,BVMILK,g/kg,33
Bangladesh,PTEGGS,g/kg,110
Belarus,BVMEAT,g/kg,150
Belarus,SGMEAT,g/kg,134
Belarus,PGMEAT,g/kg,110
Belarus,PTMEAT,g/kg,125
Belarus,BVMILK,g/kg,31
Belarus,PTEGGS,g/kg,107
Belgium,BVMEAT,g/kg,129
Belgium,SGMEAT,g/kg,135
Belgium,PGMEAT,g/kg,86
Belgium,PTMEAT,g/kg,128
Belgium,BVMILK,g/kg,32
Belgium,PTEGGS,g/kg,107
Belize,BVMEAT,g/kg,147
Belize,SGMEAT,g/kg,116
Belize,PGMEAT,g/kg,111
Belize,PTMEAT,g/kg,117
Belize,BVMILK,g/kg,34
Belize,PTEGGS,g/kg,99
Benin,BVMEAT,g/kg,146
Benin,SGMEAT,g/kg,142
Benin,PGMEAT,g/kg,115
Benin,PTMEAT,g/kg,130
Benin,BVMILK,g/kg,31
Benin,PTEGGS,g/kg,105
Bhutan,BVMEAT,g/kg,130
Bhutan,SGMEAT,g/kg,152
Bhutan,PGMEAT,g/kg,111
Bhutan,PTMEAT,g/kg,122
Bhutan,BVMILK,g/kg,37
Bhutan,PTEGGS,g/kg,108
Bolivia,BVMEAT,g/kg,139
Bolivia,SGMEAT,g/kg,147
Bolivia,PGMEAT,g/kg,94
Bolivia,PTMEAT,g/kg,116
Bolivia,BVMILK,g/kg,32
Bolivia,PTEGGS,g/kg,99
BosniaHerzg,BVMEAT,g/kg,149
BosniaHerzg,SGMEAT,g/kg,136
BosniaHerzg,PGMEAT,g/kg,94
BosniaHerzg,PTMEAT,g/kg,128
BosniaHerzg,BVMILK,g/kg,32
BosniaHerzg,PTEGGS,g/kg,107
Botswana,BVMEAT,g/kg,149
Botswana,SGMEAT,g/kg,140
Botswana,PGMEAT,g/kg,92
Botswana,PTMEAT,g/kg,125
Botswana,BVMILK,g/kg,36
Botswana,PTEGGS,g/kg,104
Brazil,BVMEAT,g/kg,136
Brazil,SGMEAT,g/kg,145
Brazil,PGMEAT,g/kg,97
Brazil,PTMEAT,g/kg,117
Brazil,BVMILK,g/kg,32
Brazil,PTEGGS,g/kg,100
BruneiDarsm,BVMEAT,g/kg,135
BruneiDarsm,SGMEAT,g/kg,123
BruneiDarsm,PGMEAT,g/kg,96
BruneiDarsm,PTMEAT,g/kg,124
BruneiDarsm,BVMILK,g/kg,33
BruneiDarsm,PTEGGS,g/kg,115
Bulgaria,BVMEAT,g/kg,141
Bulgaria,SGMEAT,g/kg,130
Bulgaria,PGMEAT,g/kg,102
Bulgaria,PTMEAT,g/kg,149
Bulgaria,BVMILK,g/kg,32
Bulgaria,PTEGGS,g/kg,114
BurkinaFaso,BVMEAT,g/kg,146
BurkinaFaso,SGMEAT,g/kg,146
BurkinaFaso,PGMEAT,g/kg,116
BurkinaFaso,PTMEAT,g/kg,123
BurkinaFaso,BVMILK,g/kg,32
BurkinaFaso,PTEGGS,g/kg,103
Burundi,BVMEAT,g/kg,146
Burundi,SGMEAT,g/kg,140
Burundi,PGMEAT,g/kg,117
Burundi,PTMEAT,g/kg,123
Burundi,BVMILK,g/kg,32
Burundi,PTEGGS,g/kg,104
Cambodia,BVMEAT,g/kg,148
Cambodia,SGMEAT,g/kg,131
Cambodia,PGMEAT,g/kg,111
Cambodia,PTMEAT,g/kg,113
Cambodia,BVMILK,g/kg,37
Cambodia,PTEGGS,g/kg,109
Cameroon,BVMEAT,g/kg,147
Cameroon,SGMEAT,g/kg,144
Cameroon,PGMEAT,g/kg,115
Cameroon,PTMEAT,g/kg,123
Cameroon,BVMILK,g/kg,34
Cameroon,PTEGGS,g/kg,104
Canada,BVMEAT,g/kg,137
Canada,SGMEAT,g/kg,135
Canada,PGMEAT,g/kg,98
Canada,PTMEAT,g/kg,131
Canada,BVMILK,g/kg,26
Canada,PTEGGS,g/kg,107
CapeVerde,BVMEAT,g/kg,151
CapeVerde,SGMEAT,g/kg,138
CapeVerde,PGMEAT,g/kg,110
CapeVerde,PTMEAT,g/kg,124
CapeVerde,BVMILK,g/kg,34
CapeVerde,PTEGGS,g/kg,104
CentAfrRep,BVMEAT,g/kg,146
CentAfrRep,SGMEAT,g/kg,139
CentAfrRep,PGMEAT,g/kg,116
CentAfrRep,PTMEAT,g/kg,124
CentAfrRep,BVMILK,g/kg,31
CentAfrRep,PTEGGS,g/kg,107
Chad,BVMEAT,g/kg,152
Chad,SGMEAT,g/kg,146
Chad,PGMEAT,g/kg,122
Chad,PTMEAT,g/kg,125
Chad,BVMILK,g/kg,32
Chad,PTEGGS,g/kg,105
Chile,BVMEAT,g/kg,134
Chile,SGMEAT,g/kg,134
Chile,PGMEAT,g/kg,112
Chile,PTMEAT,g/kg,122
Chile,BVMILK,g/kg,32
Chile,PTEGGS,g/kg,99
China,BVMEAT,g/kg,136
China,SGMEAT,g/kg,138
China,PGMEAT,g/kg,111
China,PTMEAT,g/kg,118
China,BVMILK,g/kg,38
China,PTEGGS,g/kg,115
Colombia,BVMEAT,g/kg,139
Colombia,SGMEAT,g/kg,142
Colombia,PGMEAT,g/kg,113
Colombia,PTMEAT,g/kg,110
Colombia,BVMILK,g/kg,36
Colombia,PTEGGS,g/kg,99
Comoros,BVMEAT,g/kg,147
Comoros,SGMEAT,g/kg,140
Comoros,PGMEAT,g/kg,110
Comoros,PTMEAT,g/kg,123
Comoros,BVMILK,g/kg,31
Comoros,PTEGGS,g/kg,104
CongoDemR,BVMEAT,g/kg,155
CongoDemR,SGMEAT,g/kg,150
CongoDemR,PGMEAT,g/kg,117
CongoDemR,PTMEAT,g/kg,123
CongoDemR,BVMILK,g/kg,34
CongoDemR,PTEGGS,g/kg,106
CongoRep,BVMEAT,g/kg,158
CongoRep,SGMEAT,g/kg,139
CongoRep,PGMEAT,g/kg,103
CongoRep,PTMEAT,g/kg,125
CongoRep,BVMILK,g/kg,33
CongoRep,PTEGGS,g/kg,103
CostaRica,BVMEAT,g/kg,148
CostaRica,SGMEAT,g/kg,157
